field width,field height,obstacle width,obstacle height,num mobiles,num statics,num obstacles,tag,mean uptime,error rate,mean elt
600,400,40,40,50,50,70,k,705399.1296296298,46.00000000000001,816.5999999999999
600,400,40,40,50,50,70,k,705625.3035714285,44.0,682.3399999999998
600,400,40,40,50,50,70,k,708970.2115384617,48.0,730.81
600,400,40,40,50,50,70,k,710523.9411764706,49.0,756.3800000000001
600,400,40,40,50,50,70,k,703073.0178571428,44.0,708.4599999999997
600,400,40,40,50,50,70,k,707921.9166666666,52.00000000000002,571.5799999999999
600,400,40,40,50,50,70,k,704617.5737704915,39.00000000000001,779.9100000000003
600,400,40,40,50,50,70,k,707961.2708333336,52.0,620.45
600,400,40,40,50,50,70,k,707933.125,44.0,766.88
600,400,40,40,50,50,70,k,709117.4761904762,57.999999999999986,495.41999999999985
600,400,40,40,50,50,70,k,705027.8571428573,51.000000000000036,615.87
