field width,field height,obstacle width,obstacle height,num mobiles,num statics,num obstacles,tag,mean uptime,error rate,mean elt
600,400,40,40,35,35,30,multi-u,706570.4318181818,12.000000000000002,492.91999999999985
600,400,40,40,30,30,30,multi-u,697658.0579710145,30.999999999999993,452.29
600,400,40,40,25,25,30,multi-u,690142.6571428571,30.000000000000004,375.1600000000001
600,400,40,40,40,40,30,multi-u,710934.2352941176,14.999999999999995,568.3100000000001
600,400,40,40,20,20,30,multi-u,660251.3714285714,65.00000000000003,270.16
600,400,40,40,95,95,30,multi-u,738762.1684210523,5.0,761.5999999999999
600,400,40,40,55,55,30,multi-u,725359.4673913043,7.999999999999999,651.2299999999998
600,400,40,40,90,90,30,multi-u,736946.4845360825,2.9999999999999996,715.16
600,400,40,40,45,45,30,multi-u,716672.3655913982,7.0000000000000036,581.28
600,400,40,40,60,60,30,multi-u,728855.554347826,8.000000000000002,633.2699999999998
600,400,40,40,85,85,30,multi-u,738185.0210526315,5.0,738.72
600,400,40,40,100,100,30,multi-u,738830.5957446808,5.999999999999999,748.27
600,400,40,40,50,50,30,multi-u,723687.7604166666,3.9999999999999996,571.4599999999998
600,400,40,40,70,70,30,multi-u,730706.7765957447,5.999999999999998,736.6799999999998
600,400,40,40,65,65,30,multi-u,729810.4285714285,1.9999999999999998,719.0699999999998
600,400,40,40,75,75,30,multi-u,734687.6224489799,1.9999999999999998,699.4899999999999
600,400,40,40,80,80,30,multi-u,735562.1030927834,2.9999999999999996,657.61
600,400,40,40,15,15,30,multi-u,593622.75,96.0,32.180000000000014
