field width,field height,obstacle width,obstacle height,num mobiles,num statics,num obstacles,tag,mean uptime,error rate,mean elt
600,400,40,40,35,35,30,single,710329.0,95.0,41.93999999999998
600,400,40,40,30,30,30,single,706391.0,99.0,6.720000000000003
600,400,40,40,25,25,30,single,690724.0,97.0,15.979999999999997
600,400,40,40,40,40,30,single,718965.6666666666,94.0,78.76
600,400,40,40,20,20,30,single,681736.5,98.0,12.359999999999998
600,400,40,40,95,95,30,single,724382.8333333334,46.0,124.38000000000002
600,400,40,40,55,55,30,single,716941.9375,84.0,136.15999999999997
600,400,40,40,90,90,30,single,721268.3157894737,43.0,297.57000000000005
600,400,40,40,45,45,30,single,717813.1666666666,94.0,82.78
600,400,40,40,60,60,30,single,717108.0769230769,87.0,109.49999999999996
600,400,40,40,85,85,30,single,718736.4814814815,46.0,129.9899999999999
600,400,40,40,100,100,30,single,726101.0566037736,47.0,94.56000000000003
600,400,40,40,50,50,30,single,719753.2,90.0,98.94
600,400,40,40,70,70,30,single,719470.9629629629,73.0,147.70000000000005
600,400,40,40,65,65,30,single,715797.0,69.99999999999999,174.82
600,400,40,40,75,75,30,single,717041.4864864865,63.000000000000014,229.54
600,400,40,40,80,80,30,single,716149.6222222223,54.99999999999999,203.15000000000006
600,400,40,40,15,15,30,single,0.0,100.0,0.0
