field width,field height,obstacle width,obstacle height,num mobiles,num statics,num obstacles,tag,mean uptime,error rate,mean elt
600,400,40,40,50,50,100,multi-u,701415.375,84.0,289.78999999999996
600,400,40,40,50,50,90,multi-u,704621.7826086957,77.0,352.7799999999999
600,400,40,40,50,50,0,multi-u,730954.39,0.0,18.910000000000004
600,400,40,40,50,50,70,multi-u,703067.7818181819,45.0,587.6100000000001
600,400,40,40,50,50,60,multi-u,710570.8870967742,38.0,641.7400000000001
600,400,40,40,50,50,20,multi-u,726263.0714285717,1.9999999999999998,548.1400000000001
600,400,40,40,50,50,40,multi-u,716835.9999999999,14.999999999999996,639.1899999999998
600,400,40,40,50,50,30,multi-u,722219.1458333334,3.9999999999999996,572.9499999999999
600,400,40,40,50,50,50,multi-u,714763.6883116885,23.0,659.35
600,400,40,40,50,50,80,multi-u,700267.975,60.00000000000002,551.8499999999999
600,400,40,40,50,50,10,multi-u,727611.25,3.9999999999999996,465.63
