field width,field height,obstacle width,obstacle height,num mobiles,num statics,num obstacles,tag,mean uptime,error rate,mean elt
600,400,40,40,50,50,100,single,0.0,100.0,0.0
600,400,40,40,50,50,90,single,0.0,100.0,0.0
600,400,40,40,50,50,0,single,726473.0999999999,0.0,48.94
600,400,40,40,50,50,70,single,694005.0,99.0,9.019999999999994
600,400,40,40,50,50,60,single,0.0,100.0,0.0
600,400,40,40,50,50,20,single,721642.72,75.0,295.99999999999994
600,400,40,40,50,50,40,single,702143.75,96.0,17.950000000000006
600,400,40,40,50,50,30,single,711688.1666666666,88.0,110.05
600,400,40,40,50,50,50,single,698155.0,98.0,13.63
600,400,40,40,50,50,80,single,695505.0,99.0,4.88
600,400,40,40,50,50,10,single,724448.5111111111,54.99999999999997,435.33
